ID;PARTNER;BGN_DT;END_DT;BESTANDID
921;von Graffenried Harry;T00:00:00Z;9999-12-31T00:00:00Z;[4155]
922;Bieber Othmar;T00:00:00Z;9999-12-31T00:00:00Z;[4156]
924;Limacher Franz;T00:00:00Z;9999-12-31T00:00:00Z;[4158]
934;Dubois Jean-Alain;T00:00:00Z;9999-12-31T00:00:00Z;[4169]
939;Hersche Hedy;T00:00:00Z;9999-12-31T00:00:00Z;[4174]
942;Hottinger Robert;T00:00:00Z;9999-12-31T00:00:00Z;[4177]
943;Mürner Erwin;T00:00:00Z;9999-12-31T00:00:00Z;
944;Eynard Paul;T00:00:00Z;9999-12-31T00:00:00Z;[4179]
945;Joos Hans;T00:00:00Z;9999-12-31T00:00:00Z;
949;Anonymer Filmamateur ;T00:00:00Z;9999-12-31T00:00:00Z;[4184]
955;Santschi Ernst;T00:00:00Z;9999-12-31T00:00:00Z;[4190]
960;Roschewski Heinz;T00:00:00Z;9999-12-31T00:00:00Z;[4195]
967;Europäische Bewegung Schweiz ;T00:00:00Z;9999-12-31T00:00:00Z;[4202]
978;Schweizerische Konservative Volkspartei ;T00:00:00Z;9999-12-31T00:00:00Z;
981;Hilfswerk für deutsche Notgebiete ;T00:00:00Z;9999-12-31T00:00:00Z;[4213]
988;Schweizerische Stiftung für angewandte Psychologie ;T00:00:00Z;9999-12-31T00:00:00Z;[4218]
997;Schweizer Hilfsverein, Zagreb ;T00:00:00Z;9999-12-31T00:00:00Z;[4226]
1000;Militärischer Frauendienst, Verband Zürich ;T00:00:00Z;9999-12-31T00:00:00Z;[4229]
1012;Verein Chance 700 ;T00:00:00Z;9999-12-31T00:00:00Z;[4241]
1018;Schweizer Wohltätigkeitsverein in Japan ;T00:00:00Z;9999-12-31T00:00:00Z;[4247]
1021;Deutschreformierte Schulen Sankt Petersburg ;T00:00:00Z;9999-12-31T00:00:00Z;[4251]
1024;Friedrich E.;T00:00:00Z;9999-12-31T00:00:00Z;[3883]
1026;Clerc John;T00:00:00Z;9999-12-31T00:00:00Z;[3892]
1039;Mehnert-Frey Erich;T00:00:00Z;9999-12-31T00:00:00Z;[3907]
1048;Erb E.;T00:00:00Z;9999-12-31T00:00:00Z;[3916]
1055;Trüb Hans;T00:00:00Z;9999-12-31T00:00:00Z;[3924]
1080;de Meuron Guy;T00:00:00Z;9999-12-31T00:00:00Z;[3951]
1088;Böschenstein Hermann;T00:00:00Z;9999-12-31T00:00:00Z;[3960]
1089;Weber Omar;T00:00:00Z;9999-12-31T00:00:00Z;[3961]
1091;Dancet Claude;T00:00:00Z;9999-12-31T00:00:00Z;[3964]
1094;Matter Oskar;T00:00:00Z;9999-12-31T00:00:00Z;[3967]
1095;Dällenbach Walter;T00:00:00Z;9999-12-31T00:00:00Z;[3968]
1110;von May Alfred;T00:00:00Z;9999-12-31T00:00:00Z;[3986]
1114;Bally-Clairmont M. C.;T00:00:00Z;9999-12-31T00:00:00Z;[3990]
1116;Naegeli Karl;T00:00:00Z;9999-12-31T00:00:00Z;[3992]
1126;Albert Hermann;T00:00:00Z;9999-12-31T00:00:00Z;[4006]
1127;de Verninac-Saint-Maur Raymond;T00:00:00Z;9999-12-31T00:00:00Z;[4008]
1130;Martin Charles Pierre Etienne;T00:00:00Z;9999-12-31T00:00:00Z;[4011]
1131;Gautschi Georg;T00:00:00Z;9999-12-31T00:00:00Z;[4013]
1135;Schaefle Hans;T00:00:00Z;9999-12-31T00:00:00Z;[4017]
1137;Elsener ;T00:00:00Z;9999-12-31T00:00:00Z;[4019]
1138;Berger Fritz;T00:00:00Z;9999-12-31T00:00:00Z;[4020]
1144;Aeschlimann Jacques;T00:00:00Z;9999-12-31T00:00:00Z;[4026]
1147;Roth Daniel;T00:00:00Z;9999-12-31T00:00:00Z;[4030]
1148;Obrecht Adolf;T00:00:00Z;9999-12-31T00:00:00Z;[4031]
1150;Marolf Hanni;T00:00:00Z;9999-12-31T00:00:00Z;[4033]
1151;Agnoli Max;T00:00:00Z;9999-12-31T00:00:00Z;[4034]
1152;Imesch Ludwig;T00:00:00Z;9999-12-31T00:00:00Z;[4035]
1153;Schaub Silvio;T00:00:00Z;9999-12-31T00:00:00Z;[4036]
1154;Kind Margarita;T00:00:00Z;9999-12-31T00:00:00Z;[4037]
1158;Vogel Hansueli;T00:00:00Z;9999-12-31T00:00:00Z;[4041]
1163;Strüby ;T00:00:00Z;9999-12-31T00:00:00Z;[4046]
1166;Bier Martin;T00:00:00Z;9999-12-31T00:00:00Z;[4049]
1168;Favre Henri-Louis;T00:00:00Z;9999-12-31T00:00:00Z;[4051]
1170;Levental Zdenko;T00:00:00Z;9999-12-31T00:00:00Z;[4053]
1171;Rathjens Carl;T00:00:00Z;9999-12-31T00:00:00Z;[4054]
1172;Cosandey Roland;T00:00:00Z;9999-12-31T00:00:00Z;
1184;Oederlin Franz;T00:00:00Z;9999-12-31T00:00:00Z;[4069]
1200;de Marmorières Barthès;T00:00:00Z;9999-12-31T00:00:00Z;[4088]
1201;Delage Charles Joseph Edmond;T00:00:00Z;9999-12-31T00:00:00Z;[4089]
1203;von Hofstetter Gustav;T00:00:00Z;9999-12-31T00:00:00Z;[4092]
1208;Abyberg von [...];T00:00:00Z;9999-12-31T00:00:00Z;[4097]
1210;Welti von Zurzach AG;T00:00:00Z;9999-12-31T00:00:00Z;[4099]
1212;Tripod Alexandre;T00:00:00Z;9999-12-31T00:00:00Z;[4101]
1216;Mojonnier ;T00:00:00Z;9999-12-31T00:00:00Z;[4105]
1218;Hofmeister E.;T00:00:00Z;9999-12-31T00:00:00Z;[4107]
1223;Winkler Johannes;T00:00:00Z;9999-12-31T00:00:00Z;[4112]
1232;Witschi F.;T00:00:00Z;9999-12-31T00:00:00Z;[4121]
1233;Fischer Eugen;T00:00:00Z;9999-12-31T00:00:00Z;[4122]
1237;de Hardy Charles;T00:00:00Z;9999-12-31T00:00:00Z;[4126]
1240;von Herrenschwand ;T00:00:00Z;9999-12-31T00:00:00Z;[4131]
1243;Peis Günter;T00:00:00Z;9999-12-31T00:00:00Z;[4134]
1248;Eidgenössisches Zentralhilfskomitee für die Überschwemmungen von 1868 ;T00:00:00Z;9999-12-31T00:00:00Z;[3631]
1250;Le cloître de la cathédrale Notre-Dame, Lausanne ;T00:00:00Z;9999-12-31T00:00:00Z;[3633]
1251;Schweizer Hilfsverein, Bombay ;T00:00:00Z;9999-12-31T00:00:00Z;[3634]
1252;Hilfsverein der Schweizerkolonie, Prag ;T00:00:00Z;9999-12-31T00:00:00Z;[3635]
1253;Schweizerverein, Bangkok ;T00:00:00Z;9999-12-31T00:00:00Z;[3636]
1254;Sportverein der schweizerischen Verrechnungsstelle ;T00:00:00Z;9999-12-31T00:00:00Z;[3637]
1255;Generalvertretung der deutschen Reichsbahn für die Schweiz, Zürich ;T00:00:00Z;9999-12-31T00:00:00Z;[3638]
1256;Schweizer Hilfsverein, Triest ;T00:00:00Z;9999-12-31T00:00:00Z;[3639]
1257;Gesellschaft Schweiz Holland ;T00:00:00Z;9999-12-31T00:00:00Z;[3640]
1258;Nationalsozialistischer Schweizerbund ;T00:00:00Z;9999-12-31T00:00:00Z;[3641]
1259;Bewegung Freies Deutschland in der Schweiz ;T00:00:00Z;9999-12-31T00:00:00Z;[3642]
1262;Schweizerische Wohltätigkeitsgesellschaft in Neuseeland ;T00:00:00Z;9999-12-31T00:00:00Z;[3647]
1263;Schweizerschule, Genua ;T00:00:00Z;9999-12-31T00:00:00Z;[3648]
1264;Heim für junge ausländische Mädchen, Neapel ;T00:00:00Z;9999-12-31T00:00:00Z;[3649]
1265;Gebirgskanonenbatterie 79 ;T00:00:00Z;9999-12-31T00:00:00Z;[3650]
1266;Pontonierbataillon 1 ;T00:00:00Z;9999-12-31T00:00:00Z;[3651]
1268;Schweizerklub, Manila ;T00:00:00Z;9999-12-31T00:00:00Z;[3654]
1269;Aktivdienstveteranen des Füsilierbataillons 30 aus der Zeit des Ersten Weltkriegs ;T00:00:00Z;9999-12-31T00:00:00Z;[3655]
1270;Schweizerische Gesellschaft für Photogrammmetrie ;T00:00:00Z;9999-12-31T00:00:00Z;[3656]
1271;Regierung Vichy ;T00:00:00Z;9999-12-31T00:00:00Z;[3657]
1273;Kantonales Amt für Wasser- und Energiewirtschaft, Bern ;T00:00:00Z;9999-12-31T00:00:00Z;[3659]
1274;Schweizer Wohltätigkeitsverein, Oran ;T00:00:00Z;9999-12-31T00:00:00Z;[3660]
1275;Nationaler Anbaufonds ;T00:00:00Z;9999-12-31T00:00:00Z;[3661]
1276;Schweizerische evangelische Gemeinde, Triest ;T00:00:00Z;9999-12-31T00:00:00Z;[3664]
1277;Schweizerzirkel und Hilfsgesellschaft, Tananarive ;T00:00:00Z;9999-12-31T00:00:00Z;[3665]
1278;Ferien- und Hilfswerk für Auslandschweizerkinder ;T00:00:00Z;9999-12-31T00:00:00Z;[3666]
1279;Pferdefreunde und Pferdezüchter der Schweiz ;T00:00:00Z;9999-12-31T00:00:00Z;
1280;Gemeinde Switzerland, Tennessee ;T00:00:00Z;9999-12-31T00:00:00Z;[3672]
1281;Radiostudio Bern ;T00:00:00Z;9999-12-31T00:00:00Z;[3673]
1282;Botschaft der Bundesrepublik Deutschland in der Schweiz ;T00:00:00Z;9999-12-31T00:00:00Z;[3674]
1283;Schweizer Hilfsverein, Kalkutta ;T00:00:00Z;9999-12-31T00:00:00Z;[3676]
1285;Zentrale für internationale Hilfsaktionen an die Zivilbevölkerung la Renfile ;T00:00:00Z;9999-12-31T00:00:00Z;[3678]
1288;Schweizer Hilfsverein, Riga ;T00:00:00Z;9999-12-31T00:00:00Z;[3682]
1289;Schweizerverein, Riga ;T00:00:00Z;9999-12-31T00:00:00Z;[3683]
1290;Schweizer Wohltätigkeitsverein, Mailand ;T00:00:00Z;9999-12-31T00:00:00Z;[3684]
1291;Schweizer Hilfsgesellschaft während des Krieges, Paris ;T00:00:00Z;9999-12-31T00:00:00Z;[3686]
1293;Schweizerverein, Mailand ;T00:00:00Z;9999-12-31T00:00:00Z;[3693]
1294;Kunstmuseum, Bern ;T00:00:00Z;9999-12-31T00:00:00Z;[3695]
1296;Schweizerzirkel, Meknes ;T00:00:00Z;9999-12-31T00:00:00Z;[3697]
1297;Schweizerverein Helvetia, Strassburg ;T00:00:00Z;9999-12-31T00:00:00Z;[3698]
1298;Schweizerbund, Rabat ;T00:00:00Z;9999-12-31T00:00:00Z;[3699]
1300;Schweizerische Konferenz der kantonalen Erziehungsdirektoren ;T00:00:00Z;9999-12-31T00:00:00Z;
1301;Schweizerisches landwirtschaftliches Technikum, Zollikofen ;T00:00:00Z;9999-12-31T00:00:00Z;
1303;Technikum für tropische Landwirtschaft, Basel ;T00:00:00Z;9999-12-31T00:00:00Z;
1305;Schweizerischer Wirteverein, Zürich ;T00:00:00Z;9999-12-31T00:00:00Z;
1306;Union Helvetia, Luzern ;T00:00:00Z;9999-12-31T00:00:00Z;
1307;Schweizerische Stickereitreuhandgenossenschaft ;T00:00:00Z;9999-12-31T00:00:00Z;
1308;Schweizerverein, Mainz ;T00:00:00Z;9999-12-31T00:00:00Z;[3709]
1310;Schweizerische Vereinigung für Innenkolonisation und industrielle Landwirtschaft, Zürich ;T00:00:00Z;9999-12-31T00:00:00Z;
1311;Schweizerheim, Wien ;T00:00:00Z;9999-12-31T00:00:00Z;[3713]
1312;Schweizerischreformierte Kirche, Johannesburg ;T00:00:00Z;9999-12-31T00:00:00Z;[3714]
1313;Verein für die Errichtung eines schweizerischen Armeemuseums ;T00:00:00Z;9999-12-31T00:00:00Z;
1314;Personalverband der Betriebe des eidgenössischen Militärdepartements, Thun ;T00:00:00Z;9999-12-31T00:00:00Z;[3716]
1316;Schweizerische Milchkommission ;T00:00:00Z;9999-12-31T00:00:00Z;[3718]
1317;Fliegerstaffel 14 ;T00:00:00Z;9999-12-31T00:00:00Z;[3719]
1318;Schweizer Hilfsverein Helvetia, Konstantinopel ;T00:00:00Z;9999-12-31T00:00:00Z;[3720]
1320;Schweizer Zentrum zugunsten griechischer Kinder in Not ;T00:00:00Z;9999-12-31T00:00:00Z;[3723]
1322;Internationale Vereinigung für die Geschichte von Leibeserziehung und Sport ;T00:00:00Z;9999-12-31T00:00:00Z;[3725]
1323;Schweizer Schützenverein, Buenos Aires ;T00:00:00Z;9999-12-31T00:00:00Z;[3726]
1325;Komitee gegen den Eintritt junger Schweizer in die Fremdenlegion, Zürich ;T00:00:00Z;9999-12-31T00:00:00Z;[3729]
1326;Schweizer Wohltätigkeitsverein für Kuba, Havanna ;T00:00:00Z;9999-12-31T00:00:00Z;[3730]
1327;Schweizerbund, Istanbul ;T00:00:00Z;9999-12-31T00:00:00Z;[3731]
1328;Schweizerinstitut, Rom ;T00:00:00Z;9999-12-31T00:00:00Z;[3732]
1329;Gebirgsmitrailleurkompanie 1 ;T00:00:00Z;9999-12-31T00:00:00Z;[3733]
1331;Infanterieregiment 23 ;T00:00:00Z;9999-12-31T00:00:00Z;[3735]
1332;Füsilierbataillon 55 ;T00:00:00Z;9999-12-31T00:00:00Z;
1337;Füsilierbataillon 83 ;T00:00:00Z;9999-12-31T00:00:00Z;[3739]
1338;Sozialdemokratische Mitgliedschaft Länggasse, Bern ;T00:00:00Z;9999-12-31T00:00:00Z;[3740]
1339;Füsilierbataillon 46 ;T00:00:00Z;9999-12-31T00:00:00Z;[3741]
1343;Schweizerische Interessengemeinschaft für das internationale Jahr der Jugend ;T00:00:00Z;9999-12-31T00:00:00Z;[3745]
1344;Diverse Truppeneinheiten ;T00:00:00Z;9999-12-31T00:00:00Z;[3746]
1347;Schiedsgericht über Guinea-Bissau und Senegal ;T00:00:00Z;9999-12-31T00:00:00Z;[3751]
1348;Schweizerzirkel, Annecy ;T00:00:00Z;9999-12-31T00:00:00Z;[3752]
1350;Schweizer Wohltätigkeitsverein, Guatemala-Stadt ;T00:00:00Z;9999-12-31T00:00:00Z;[3754]
1351;Vereinigung der Schweizer Studierenden an belgischen Universitäten, Brüssel ;T00:00:00Z;9999-12-31T00:00:00Z;[3755]
1352;Arbeitsgruppe Offene Schweiz 1991 ;T00:00:00Z;9999-12-31T00:00:00Z;[3757]
1354;Sappeurbataillon 7 ;T00:00:00Z;9999-12-31T00:00:00Z;[3759]
1355;Schweizer Wohltätigkeitsverein, Nimes ;T00:00:00Z;9999-12-31T00:00:00Z;[3760]
1357;Nationale Kommission für die Veröffentlichung diplomatischer Dokumente der Schweiz ;T00:00:00Z;9999-12-31T00:00:00Z;[3764]
1358;Schweizer Wohltätigkeitsverein, Genua ;T00:00:00Z;9999-12-31T00:00:00Z;[3765]
1359;Dragonerschwadron 14 ;T00:00:00Z;9999-12-31T00:00:00Z;[3766]
1360;Sektion Bern des belgisch-schweizerischen Freundschaftsbundes ;T00:00:00Z;9999-12-31T00:00:00Z;[3769]
1361;Pflegeheim la Sombaille, La Chaux-de-Fonds ;T00:00:00Z;9999-12-31T00:00:00Z;[3770]
1362;Schweizervereine, Colombo ;T00:00:00Z;9999-12-31T00:00:00Z;[3772]
1363;Vereinigung der Schweizer Handelsangestellten, Brüssel ;T00:00:00Z;9999-12-31T00:00:00Z;[3773]
1364;Schweizer Turnverein, Brüssel ;T00:00:00Z;9999-12-31T00:00:00Z;[3774]
1365;Schweizer Wohltätigkeitsverein, Algier ;T00:00:00Z;9999-12-31T00:00:00Z;[3775]
1366;Verein der Angestellten der schweizerischen Verrechnungsstelle ;T00:00:00Z;9999-12-31T00:00:00Z;[3776]
1367;Schweizervereine, Nizza ;T00:00:00Z;9999-12-31T00:00:00Z;[3777]
1368;Schweizer Wohltätigkeitsverein, Bogota ;T00:00:00Z;9999-12-31T00:00:00Z;[3778]
1369;Neue helvetische Gesellschaft, Bogota ;T00:00:00Z;9999-12-31T00:00:00Z;[3779]
1371;Schweizer Wohltätigkeitsverein, London ;T00:00:00Z;9999-12-31T00:00:00Z;[3781]
1372;Schweizer Wohltätigkeitsverein, Boston ;T00:00:00Z;9999-12-31T00:00:00Z;[3782]
1373;Schweizer Wohltätigkeitsverein, Washington ;T00:00:00Z;9999-12-31T00:00:00Z;[3783]
1374;Schweizerverein, Nürnberg ;T00:00:00Z;9999-12-31T00:00:00Z;[3784]
1375;Schweizerverein Alpenrösli, München ;T00:00:00Z;9999-12-31T00:00:00Z;[3785]
1376;Schweizer Hilfsverein Helvetia, Sankt Mang ;T00:00:00Z;9999-12-31T00:00:00Z;[3786]
1377;Schweizerverein, New York ;T00:00:00Z;9999-12-31T00:00:00Z;[3787]
1379;Schweizer Schützengesellschaft, London ;T00:00:00Z;9999-12-31T00:00:00Z;[3789]
1380;Schweizer Hilfsfonds in Ghana ;T00:00:00Z;9999-12-31T00:00:00Z;[3790]
1382;Philhelvetischer Verein, Brüssel ;T00:00:00Z;9999-12-31T00:00:00Z;[3793]
1383;Schweizerverein in Dänemark ;T00:00:00Z;9999-12-31T00:00:00Z;[3794]
1384;Sektion Annemasse der Schweizervereine, Léman Mont Blanc ;T00:00:00Z;9999-12-31T00:00:00Z;[3795]
1385;Sektion Cluses der Schweizervereine, Léman Mont Blanc ;T00:00:00Z;9999-12-31T00:00:00Z;[3796]
1386;Sektion Aix-les-Bains des Schweizer Savoyerbundes ;T00:00:00Z;9999-12-31T00:00:00Z;[3797]
1387;Schweizer Wohltätigkeitsverein, Barcelona ;T00:00:00Z;9999-12-31T00:00:00Z;[3798]
1388;Schweizerkolonie in Grossbritannien ;T00:00:00Z;9999-12-31T00:00:00Z;[3799]
1389;Schweizerhaus, London ;T00:00:00Z;9999-12-31T00:00:00Z;[3800]
1390;Schweizerisches Institut für Landmaschinenwesen und Landarbeitstechnik, Brugg ;T00:00:00Z;9999-12-31T00:00:00Z;
1393;Stiftung Trieur, Brugg ;T00:00:00Z;9999-12-31T00:00:00Z;
1394;Schweizer Wohltätigkeitsverein, Santiago de Chile ;T00:00:00Z;9999-12-31T00:00:00Z;[3804]
1395;Schweizerverein Die Stauffacherin, Washington ;T00:00:00Z;9999-12-31T00:00:00Z;[3805]
1396;Nordamerikanischer Schweizerbund ;T00:00:00Z;9999-12-31T00:00:00Z;[3806]
1397;Schweizervereine, New York ;T00:00:00Z;9999-12-31T00:00:00Z;[3807]
1399;Schweizerbund, Tunis ;T00:00:00Z;9999-12-31T00:00:00Z;[3809]
1400;Schweizer Hilfsverein und Schweizerverein Helvetia, Dresden ;T00:00:00Z;9999-12-31T00:00:00Z;[3810]
1401;Grenzfüsilierbataillon 284 ;T00:00:00Z;9999-12-31T00:00:00Z;[3811]
1402;Schweizer Jodlerklub, Rosario ;T00:00:00Z;9999-12-31T00:00:00Z;[3812]
1403;Komitee pro Vorarlberg ;T00:00:00Z;9999-12-31T00:00:00Z;[3813]
1404;Philantropische Gesellschaft, Rosario ;T00:00:00Z;9999-12-31T00:00:00Z;[3814]
1405;Schweizer Hilfsverein, Concordia ;T00:00:00Z;9999-12-31T00:00:00Z;[3815]
1406;Golden Gate Swiss Club, San Francisco ;T00:00:00Z;9999-12-31T00:00:00Z;[3816]
1407;Schweizerzirkel, Cali ;T00:00:00Z;9999-12-31T00:00:00Z;[3817]
1408;Schweizer Wohltätigkeitsverein, Cali ;T00:00:00Z;9999-12-31T00:00:00Z;[3818]
1410;Schweizer Wohltätigkeitsverein, Pernambuco ;T00:00:00Z;9999-12-31T00:00:00Z;[3820]
1411;Schweizerverein Helvetia, Montevideo ;T00:00:00Z;9999-12-31T00:00:00Z;[3822]
1412;Schweizerklub, Montevideo ;T00:00:00Z;9999-12-31T00:00:00Z;[3823]
1413;Schweizer Hilfsverein Helvetia, Frankfurt am Main ;T00:00:00Z;9999-12-31T00:00:00Z;[3824]
1414;Schweizerverein, Frankfurt am Main ;T00:00:00Z;9999-12-31T00:00:00Z;[3824]
1415;Schweizer Wohltätigkeitsverein für Mosambik, Lourenço-Marques ;T00:00:00Z;9999-12-31T00:00:00Z;[3826]
1416;Schweizer Büro für wirtschaftliches Wachstum in Kolumbien, Venezuela und Ecuador ;T00:00:00Z;9999-12-31T00:00:00Z;[3827]
1417;Schweizervereine, Kairo ;T00:00:00Z;9999-12-31T00:00:00Z;[3829]
1419;Internationale Organisation für biologische Schädlingsbekämpfung ;T00:00:00Z;9999-12-31T00:00:00Z;
1420;Schweizerverein, Berlin ;T00:00:00Z;9999-12-31T00:00:00Z;[3832]
1421;Schweizerische Importgesellschaft ;T00:00:00Z;9999-12-31T00:00:00Z;
1424;Versorgungsamt IV, Berlin ;T00:00:00Z;9999-12-31T00:00:00Z;[3835]
1426;Kegelklub, Iloilo ;T00:00:00Z;9999-12-31T00:00:00Z;[3837]
1429;Schweizer Wohltätigkeitsverein, Bahia ;T00:00:00Z;9999-12-31T00:00:00Z;[3839]
1430;Schweizerzirkel, Beirut ;T00:00:00Z;9999-12-31T00:00:00Z;[3840]
1431;Schweizerverein Helvetia, Ulm und Umgebung ;T00:00:00Z;9999-12-31T00:00:00Z;[3841]
1432;Schweizerverein Helvetia, Mannheim ;T00:00:00Z;9999-12-31T00:00:00Z;[3842]
1433;Schweizer Menschenrechtsliga, La Chapelle sur Carouge ;T00:00:00Z;9999-12-31T00:00:00Z;[3843]
1434;Schweizervereine, Saint Louis ;T00:00:00Z;9999-12-31T00:00:00Z;[3844]
1435;Schweizervereine, Chicago ;T00:00:00Z;9999-12-31T00:00:00Z;[3845]
1436;Schweizer Wohltätigkeitsverein für die Philippinen, Manila ;T00:00:00Z;9999-12-31T00:00:00Z;[3846]
1437;Schweizerzirkel, Genua ;T00:00:00Z;9999-12-31T00:00:00Z;[3847]
1438;Internierte französische Truppen ;T00:00:00Z;9999-12-31T00:00:00Z;[3848]
1440;Schweizerische Kriegstechnische Gesellschaft ;T00:00:00Z;9999-12-31T00:00:00Z;[3850]
1441;Kommunistische Partei der Schweiz ;T00:00:00Z;9999-12-31T00:00:00Z;[3851]
1442;Konferenz über die Sicherheit und Zusammenarbeit in Europa ;T00:00:00Z;9999-12-31T00:00:00Z;[3852]
1443;Schweizer Hilfsverein, Belfort ;T00:00:00Z;9999-12-31T00:00:00Z;[3853]
1444;Schweizervereine in Skandinavien ;T00:00:00Z;9999-12-31T00:00:00Z;[3854]
1540;Informations- und Pressedienst des eidgenössischen Justiz- und Polizeidepartements ;T00:00:00Z;9999-12-31T00:00:00Z;
1602;Gottfried Keller Stiftung ;T00:00:00Z;9999-12-31T00:00:00Z;
1603;Verwaltungsrat der Darlehenskasse der schweizerischen Eidgenossenschaft ;T00:00:00Z;9999-12-31T00:00:00Z;
1606;Berset Müller Stiftung ;T00:00:00Z;9999-12-31T00:00:00Z;
1616;Militärheilanstalt, Tenero ;T00:00:00Z;9999-12-31T00:00:00Z;
1617;General Herzog Stiftung ;T00:00:00Z;9999-12-31T00:00:00Z;
1618;Gleyre Stiftung ;T00:00:00Z;9999-12-31T00:00:00Z;
1624;Abteilung eidgenössische Ausgleichskasse ;T00:00:00Z;9999-12-31T00:00:00Z;
1626;Historische Sektion ;T00:00:00Z;9999-12-31T00:00:00Z;
1627;Sektion Führung und Ausbildung der Werk- und Festungsformationen ;T00:00:00Z;9999-12-31T00:00:00Z;
1630;Internierung ;T00:00:00Z;9999-12-31T00:00:00Z;
1634;Abteilung für Militärjustiz ;T00:00:00Z;9999-12-31T00:00:00Z;
1635;Abteilung für Militärwerkstätten ;T00:00:00Z;9999-12-31T00:00:00Z;
1636;Abteilung für Militärwissenschaften ;T00:00:00Z;9999-12-31T00:00:00Z;
1637;Abteilung für Quarantänen ;T00:00:00Z;9999-12-31T00:00:00Z;
1639;Abteilung für soziale Fürsorge, Archiv- und Bibliothekenwesen ;T00:00:00Z;9999-12-31T00:00:00Z;
1640;Kommissariat für Internierungen ;T00:00:00Z;9999-12-31T00:00:00Z;
1642;Abteilung für Übermittlungswesen ;T00:00:00Z;9999-12-31T00:00:00Z;
1644;Abteilung Liegenschaften ;T00:00:00Z;9999-12-31T00:00:00Z;
1651;Ad hoc Fachkommission für Aidsfragen ;T00:00:00Z;9999-12-31T00:00:00Z;
1654;Aero Club der Schweiz ;T00:00:00Z;9999-12-31T00:00:00Z;
1656;Überwachungszentrale ;T00:00:00Z;9999-12-31T00:00:00Z;
1657;Agent des eidgenössischen politischen Departements, Puerto Rico ;T00:00:00Z;9999-12-31T00:00:00Z;
1661;Agrikulturchemische Versuchs- und Untersuchungsanstalt ;T00:00:00Z;9999-12-31T00:00:00Z;
1664;Alarmausschuss ;T00:00:00Z;9999-12-31T00:00:00Z;
1665;Allgemeine schweizerische Uhrenindustrie ;T00:00:00Z;9999-12-31T00:00:00Z;
1666;Amt für Arbeitskolonien des Verbands schweizerischen Studentenschaften ;T00:00:00Z;9999-12-31T00:00:00Z;
1668;Eidgenössische Fachstelle für Gewässerschutz ;T00:00:00Z;9999-12-31T00:00:00Z;
1678;Arbeiterkommission ;T00:00:00Z;9999-12-31T00:00:00Z;
